Entry;Entry name;Status;Protein names;Gene names;Organism
Q8NHY0;B4GN2_HUMAN;reviewed;Beta-1,4 N-acetylgalactosaminyltransferase 2 (EC 2.4.1.-) (Sd(a) beta-1,4-GalNAc transferase) (UDP-GalNAc:Neu5Aca2-3Galb-R b1,4-N-acetylgalactosaminyltransferase);B4GALNT2 GALGT2;Homo sapiens (Human)
O60909;B4GT2_HUMAN;reviewed;"Beta-1,4-galactosyltransferase 2 (Beta-1,4-GalTase 2) (Beta4Gal-T2) (b4Gal-T2) (EC 2.4.1.-) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 2) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 2) [Includes: Lactose synthase A protein (EC 2.4.1.22); N-acetyllactosamine synthase (EC 2.4.1.90) (Nal synthase); Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase (EC 2.4.1.38); Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase (EC 2.4.1.-)]";B4GALT2;Homo sapiens (Human)
Q9NS00;C1GLT_HUMAN;reviewed;Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1 (EC 2.4.1.122) (B3Gal-T8) (Core 1 O-glycan T-synthase) (Core 1 UDP-galactose:N-acetylgalactosamine-alpha-R beta 1,3-galactosyltransferase 1) (Beta-1,3-galactosyltransferase) (Core 1 beta1,3-galactosyltransferase 1) (C1GalT1) (Core 1 beta3-Gal-T1);C1GALT1;Homo sapiens (Human)
P0DN25;C1C1L_HUMAN;reviewed;C1GALT1-specific chaperone 1-like protein;C1GALT1C1L;Homo sapiens (Human)
Q96EU7;C1GLC_HUMAN;reviewed;C1GALT1-specific chaperone 1 (C38H2-like protein 1) (C38H2-L1) (Core 1 beta1,3-galactosyltransferase 2) (C1Gal-T2) (C1GalT2) (Core 1 beta3-Gal-T2) (Core 1 beta3-galactosyltransferase-specific molecular chaperone);C1GALT1C1 COSMC HSPC067 MSTP143 UNQ273/PRO310;Homo sapiens (Human)
Q9P2W7;B3GA1_HUMAN;reviewed;Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1 (EC 2.4.1.135) (Beta-1,3-glucuronyltransferase 1) (Glucuronosyltransferase P) (GlcAT-P) (UDP-GlcUA:glycoprotein beta-1,3-glucuronyltransferase) (GlcUAT-P);B3GAT1 GLCATP;Homo sapiens (Human)
Q6Y288;B3GLT_HUMAN;reviewed;Beta-1,3-glucosyltransferase (Beta3Glc-T) (EC 2.4.1.-) (Beta 3-glucosyltransferase) (Beta-3-glycosyltransferase-like);B3GLCT B3GALTL B3GTL;Homo sapiens (Human)
Q7Z7M8;B3GN8_HUMAN;reviewed;UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8 (BGnT-8) (Beta-1,3-Gn-T8) (Beta-1,3-N-acetylglucosaminyltransferase 8) (Beta3Gn-T8) (EC 2.4.1.-);B3GNT8 B3GALT7 BGALT15;Homo sapiens (Human)
Q00973;B4GN1_HUMAN;reviewed;Beta-1,4 N-acetylgalactosaminyltransferase 1 (EC 2.4.1.92) ((N-acetylneuraminyl)-galactosylglucosylceramide) (GM2/GD2 synthase) (GalNAc-T);B4GALNT1 GALGT SIAT2;Homo sapiens (Human)
Q9UBX8;B4GT6_HUMAN;reviewed;Beta-1,4-galactosyltransferase 6 (Beta-1,4-GalTase 6) (Beta4Gal-T6) (b4Gal-T6) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 6) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 6) [Includes: Glucosylceramide beta-1,4-galactosyltransferase (EC 2.4.1.274) (Lactosylceramide synthase) (LacCer synthase) (UDP-Gal:glucosylceramide beta-1,4-galactosyltransferase)];B4GALT6;Homo sapiens (Human)
Q9UIR0;BTNL2_HUMAN;reviewed;Butyrophilin-like protein 2 (BTL-II);BTNL2;Homo sapiens (Human)
Q6P4E1;CASC4_HUMAN;reviewed;Protein CASC4 (Cancer susceptibility candidate gene 4 protein);CASC4 UNQ2573/PRO6308;Homo sapiens (Human)
P28907;CD38_HUMAN;reviewed;ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 (EC 3.2.2.6) (2'-phospho-ADP-ribosyl cyclase) (2'-phospho-ADP-ribosyl cyclase/2'-phospho-cyclic-ADP-ribose transferase) (EC 2.4.99.20) (2'-phospho-cyclic-ADP-ribose transferase) (ADP-ribosyl cyclase 1) (ADPRC 1) (Cyclic ADP-ribose hydrolase 1) (cADPr hydrolase 1) (T10) (CD antigen CD38);CD38;Homo sapiens (Human)
Q8N6G5;CGAT2_HUMAN;reviewed;Chondroitin sulfate N-acetylgalactosaminyltransferase 2 (EC 2.4.1.174) (Chondroitin beta-1,4-N-acetylgalactosaminyltransferase 2) (Beta4GalNAcT-2) (GalNAcT-2);CSGALNACT2 CHGN2 GALNACT2 PRO0082;Homo sapiens (Human)
Q07108;CD69_HUMAN;reviewed;Early activation antigen CD69 (Activation inducer molecule) (AIM) (BL-AC/P26) (C-type lectin domain family 2 member C) (EA1) (Early T-cell activation antigen p60) (GP32/28) (Leukocyte surface antigen Leu-23) (MLR-3) (CD antigen CD69);CD69 CLEC2C;Homo sapiens (Human)
P32970;CD70_HUMAN;reviewed;CD70 antigen (CD27 ligand) (CD27-L) (Tumor necrosis factor ligand superfamily member 7) (CD antigen CD70);CD70 CD27L CD27LG TNFSF7;Homo sapiens (Human)
P21854;CD72_HUMAN;reviewed;B-cell differentiation antigen CD72 (Lyb-2) (CD antigen CD72);CD72;Homo sapiens (Human)
Q6UWU4;CF089_HUMAN;reviewed;Bombesin receptor-activated protein C6orf89 (Amfion);C6orf89 BRAP UNQ177/PRO203;Homo sapiens (Human)
Q8NCH0;CHSTE_HUMAN;reviewed;Carbohydrate sulfotransferase 14 (EC 2.8.2.35) (Dermatan 4-sulfotransferase 1) (D4ST-1) (hD4ST1);CHST14 D4ST1 UNQ1925/PRO4400;Homo sapiens (Human)
Q8WXI8;CLC4D_HUMAN;reviewed;C-type lectin domain family 4 member D (C-type lectin superfamily member 8) (C-type lectin-like receptor 6) (CLEC-6);CLEC4D CLECSF8 MCL;Homo sapiens (Human)
Q9NY25;CLC5A_HUMAN;reviewed;C-type lectin domain family 5 member A (C-type lectin superfamily member 5) (Myeloid DAP12-associating lectin 1) (MDL-1);CLEC5A CLECSF5 MDL1;Homo sapiens (Human)
Q7LGC8;CHST3_HUMAN;reviewed;Carbohydrate sulfotransferase 3 (EC 2.8.2.17) (Chondroitin 6-O-sulfotransferase 1) (C6ST-1) (Chondroitin 6-sulfotransferase) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 0) (GST-0);CHST3;Homo sapiens (Human)
Q9GZS9;CHST5_HUMAN;reviewed;Carbohydrate sulfotransferase 5 (EC 2.8.2.-) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 4-alpha) (GST4-alpha) (Intestinal N-acetylglucosamine-6-O-sulfotransferase) (I-GlcNAc6ST) (Intestinal GlcNAc-6-sulfotransferase) (hIGn6ST) (N-acetylglucosamine 6-O-sulfotransferase 3) (GlcNAc6ST-3) (Gn6st-3);CHST5;Homo sapiens (Human)
Q8IZ52;CHSS2_HUMAN;reviewed;Chondroitin sulfate synthase 2 (EC 2.4.1.175) (EC 2.4.1.226) (Chondroitin glucuronyltransferase 2) (Chondroitin-polymerizing factor) (ChPF) (Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase II) (N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase II) (N-acetylgalactosaminyltransferase 2);CHPF CSS2 UNQ651/PRO1281;Homo sapiens (Human)
Q92478;CLC2B_HUMAN;reviewed;C-type lectin domain family 2 member B (Activation-induced C-type lectin) (C-type lectin superfamily member 2) (IFN-alpha-2b-inducing-related protein 1);CLEC2B AICL CLECSF2 IFNRG1;Homo sapiens (Human)
Q9UJ71;CLC4K_HUMAN;reviewed;C-type lectin domain family 4 member K (Langerin) (CD antigen CD207);CD207 CLEC4K;Homo sapiens (Human)
Q86X52;CHSS1_HUMAN;reviewed;Chondroitin sulfate synthase 1 (EC 2.4.1.175) (EC 2.4.1.226) (Chondroitin glucuronyltransferase 1) (Chondroitin synthase 1) (ChSy-1) (Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase 1) (N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase 1) (N-acetylgalactosaminyltransferase 1);CHSY1 CHSY CSS1 KIAA0990 UNQ756/PRO1487;Homo sapiens (Human)
Q8NCG5;CHST4_HUMAN;reviewed;Carbohydrate sulfotransferase 4 (EC 2.8.2.-) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 3) (GST-3) (High endothelial cells N-acetylglucosamine 6-O-sulfotransferase) (HEC-GlcNAc6ST) (L-selectin ligand sulfotransferase) (LSST) (N-acetylglucosamine 6-O-sulfotransferase 2) (GlcNAc6ST-2) (Gn6st-2);CHST4;Homo sapiens (Human)
Q9GZX3;CHST6_HUMAN;reviewed;Carbohydrate sulfotransferase 6 (EC 2.8.2.-) (Corneal N-acetylglucosamine-6-O-sulfotransferase) (C-GlcNAc6ST) (hCGn6ST) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 4-beta) (GST4-beta) (N-acetylglucosamine 6-O-sulfotransferase 5) (GlcNAc6ST-5) (Gn6st-5);CHST6;Homo sapiens (Human)
Q5QGZ9;CL12A_HUMAN;reviewed;C-type lectin domain family 12 member A (C-type lectin-like molecule 1) (CLL-1) (Dendritic cell-associated lectin 2) (DCAL-2) (Myeloid inhibitory C-type lectin-like receptor) (MICL);CLEC12A CLL1 DCAL2 MICL;Homo sapiens (Human)
Q6ZS10;CL17A_HUMAN;reviewed;C-type lectin domain family 17, member A (Prolectin);CLEC17A;Homo sapiens (Human)
Q7L1S5;CHST9_HUMAN;reviewed;Carbohydrate sulfotransferase 9 (EC 2.8.2.-) (GalNAc-4-O-sulfotransferase 2) (GalNAc-4-ST2) (GalNAc4ST-2) (N-acetylgalactosamine-4-O-sulfotransferase 2);CHST9 UNQ2549/PRO6175;Homo sapiens (Human)
Q9NRB3;CHSTC_HUMAN;reviewed;Carbohydrate sulfotransferase 12 (EC 2.8.2.5) (Chondroitin 4-O-sulfotransferase 2) (Chondroitin 4-sulfotransferase 2) (C4ST-2) (C4ST2) (Sulfotransferase Hlo);CHST12 UNQ500/PRO1017;Homo sapiens (Human)
Q7LFX5;CHSTF_HUMAN;reviewed;Carbohydrate sulfotransferase 15 (EC 2.8.2.33) (B-cell RAG-associated gene protein) (hBRAG) (N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase) (GalNAc4S-6ST);CHST15 BRAG GALNAC4S6ST KIAA0598;Homo sapiens (Human)
Q8NC01;CLC1A_HUMAN;reviewed;C-type lectin domain family 1 member A (C-type lectin-like receptor 1) (CLEC-1);CLEC1A CLEC1 UNQ569/PRO1131;Homo sapiens (Human)
Q6UVW9;CLC2A_HUMAN;reviewed;C-type lectin domain family 2 member A (Keratinocyte-associated C-type lectin) (KACL) (Proliferation-induced lymphocyte-associated receptor) (PILAR);CLEC2A KACL UNQ5792/PRO19597;Homo sapiens (Human)
Q9UHP7;CLC2D_HUMAN;reviewed;C-type lectin domain family 2 member D (Lectin-like NK cell receptor) (Lectin-like transcript 1) (LLT-1) (Osteoclast inhibitory lectin);CLEC2D CLAX LLT1 OCIL;Homo sapiens (Human)
Q9BXN2;CLC7A_HUMAN;reviewed;C-type lectin domain family 7 member A (Beta-glucan receptor) (C-type lectin superfamily member 12) (Dendritic cell-associated C-type lectin 1) (DC-associated C-type lectin 1) (Dectin-1);CLEC7A BGR CLECSF12 DECTIN1 UNQ539/PRO1082;Homo sapiens (Human)
Q9ULG6;CCPG1_HUMAN;reviewed;Cell cycle progression protein 1 (Cell cycle progression restoration protein 8);CCPG1 CCP8 CPR8 KIAA1254;Homo sapiens (Human)
Q70JA7;CHSS3_HUMAN;reviewed;Chondroitin sulfate synthase 3 (EC 2.4.1.175) (EC 2.4.1.226) (Carbohydrate synthase 2) (Chondroitin glucuronyltransferase 3) (Chondroitin synthase 2) (ChSy-2) (Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase II) (N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase 3) (N-acetylgalactosaminyltransferase 3);CHSY3 CHSY2 CSS3;Homo sapiens (Human)
Q9P2E5;CHPF2_HUMAN;reviewed;Chondroitin sulfate glucuronyltransferase (EC 2.4.1.226) (CSGlcA-T) (Chondroitin glucuronyltransferase) (Chondroitin polymerizing factor 2) (ChPF-2) (Chondroitin synthase 3) (ChSy-3) (N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase);CHPF2 CHSY3 CSGLCAT KIAA1402 UNQ299/PRO339;Homo sapiens (Human)
O43916;CHST1_HUMAN;reviewed;Carbohydrate sulfotransferase 1 (EC 2.8.2.21) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 1) (GST-1) (Keratan sulfate Gal-6 sulfotransferase) (KS6ST) (KSGal6ST) (KSST);CHST1;Homo sapiens (Human)
Q9NS84;CHST7_HUMAN;reviewed;Carbohydrate sulfotransferase 7 (EC 2.8.2.-) (EC 2.8.2.17) (Chondroitin 6-sulfotransferase 2) (C6ST-2) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 5) (GST-5) (N-acetylglucosamine 6-O-sulfotransferase 4) (GlcNAc6ST-4) (Gn6st-4);CHST7;Homo sapiens (Human)
O43529;CHSTA_HUMAN;reviewed;Carbohydrate sulfotransferase 10 (EC 2.8.2.-) (HNK-1 sulfotransferase) (HNK-1ST) (HNK1ST) (HuHNK-1ST);CHST10;Homo sapiens (Human)
Q9H2X3;CLC4M_HUMAN;reviewed;C-type lectin domain family 4 member M (CD209 antigen-like protein 1) (DC-SIGN-related protein) (DC-SIGNR) (Dendritic cell-specific ICAM-3-grabbing non-integrin 2) (DC-SIGN2) (Liver/lymph node-specific ICAM-3-grabbing non-integrin) (L-SIGN) (CD antigen CD299);CLEC4M CD209L CD209L1 CD299;Homo sapiens (Human)
Q8IZS7;CLCL1_HUMAN;reviewed;C-type lectin-like domain family 1 (Dendritic cell-associated lectin 1) (DC-associated lectin-1) (DCAL-1);CLECL1 DCAL1;Homo sapiens (Human)
Q07065;CKAP4_HUMAN;reviewed;Cytoskeleton-associated protein 4 (63-kDa cytoskeleton-linking membrane protein) (Climp-63) (p63);CKAP4;Homo sapiens (Human)
Q8TDX6;CGAT1_HUMAN;reviewed;Chondroitin sulfate N-acetylgalactosaminyltransferase 1 (CsGalNAcT-1) (EC 2.4.1.174) (Chondroitin beta-1,4-N-acetylgalactosaminyltransferase 1) (Beta4GalNAcT-1);CSGALNACT1 CHGN GALNACT1 UNQ656/PRO1287;Homo sapiens (Human)
Q2HXU8;CL12B_HUMAN;reviewed;C-type lectin domain family 12 member B (Macrophage antigen H);CLEC12B UNQ5782/PRO16089;Homo sapiens (Human)
Q9ULY5;CLC4E_HUMAN;reviewed;C-type lectin domain family 4 member E (C-type lectin superfamily member 9) (Macrophage-inducible C-type lectin);CLEC4E CLECSF9 MINCLE UNQ218/PRO244;Homo sapiens (Human)
Q5KU26;COL12_HUMAN;reviewed;Collectin-12 (Collectin placenta protein 1) (CL-P1) (hCL-P1) (Nurse cell scavenger receptor 2) (Scavenger receptor class A member 4) (Scavenger receptor with C-type lectin);COLEC12 CLP1 NSR2 SCARA4 SRCL;Homo sapiens (Human)
Q8IUN9;CLC10_HUMAN;reviewed;C-type lectin domain family 10 member A (C-type lectin superfamily member 14) (Macrophage lectin 2) (CD antigen CD301);CLEC10A CLECSF13 CLECSF14 HML;Homo sapiens (Human)
Q9P126;CLC1B_HUMAN;reviewed;C-type lectin domain family 1 member B (C-type lectin-like receptor 2) (CLEC-2);CLEC1B CLEC2 UNQ721/PRO1384;Homo sapiens (Human)
Q6EIG7;CLC6A_HUMAN;reviewed;C-type lectin domain family 6 member A (C-type lectin superfamily member 10) (Dendritic cell-associated C-type lectin 2) (DC-associated C-type lectin 2) (Dectin-2);CLEC6A CLECSF10 DECTIN2;Homo sapiens (Human)
Q9UMR7;CLC4A_HUMAN;reviewed;C-type lectin domain family 4 member A (C-type lectin DDB27) (C-type lectin superfamily member 6) (Dendritic cell immunoreceptor) (Lectin-like immunoreceptor);CLEC4A CLECSF6 DCIR LLIR HDCGC13P;Homo sapiens (Human)
Q8N1N0;CLC4F_HUMAN;reviewed;C-type lectin domain family 4 member F (C-type lectin superfamily member 13) (C-type lectin 13);CLEC4F CLECSF13;Homo sapiens (Human)
Q6UXN8;CLC9A_HUMAN;reviewed;C-type lectin domain family 9 member A;CLEC9A UNQ9341/PRO34046;Homo sapiens (Human)
Q86VU5;CMTD1_HUMAN;reviewed;Catechol O-methyltransferase domain-containing protein 1 (EC 2.1.1.-);COMTD1 UNQ766/PRO1558;Homo sapiens (Human)
Q9NPF2;CHSTB_HUMAN;reviewed;Carbohydrate sulfotransferase 11 (EC 2.8.2.5) (Chondroitin 4-O-sulfotransferase 1) (Chondroitin 4-sulfotransferase 1) (C4S-1) (C4ST-1) (C4ST1);CHST11;Homo sapiens (Human)
Q8NET6;CHSTD_HUMAN;reviewed;Carbohydrate sulfotransferase 13 (EC 2.8.2.5) (Chondroitin 4-O-sulfotransferase 3) (Chondroitin 4-sulfotransferase 3) (C4ST-3) (C4ST3);CHST13;Homo sapiens (Human)
Q9Y5Q5;CORIN_HUMAN;reviewed;"Atrial natriuretic peptide-converting enzyme (EC 3.4.21.-) (Corin) (Heart-specific serine proteinase ATC2) (Pro-ANP-converting enzyme) (Transmembrane protease serine 10) [Cleaved into: Atrial natriuretic peptide-converting enzyme, N-terminal propeptide; Atrial natriuretic peptide-converting enzyme, activated protease fragment; Atrial natriuretic peptide-converting enzyme, 180 kDa soluble fragment; Atrial natriuretic peptide-converting enzyme, 160 kDa soluble fragment; Atrial natriuretic peptide-converting enzyme, 100 kDa soluble fragment]";CORIN CRN TMPRSS10;Homo sapiens (Human)
Q9Y4C5;CHST2_HUMAN;reviewed;Carbohydrate sulfotransferase 2 (EC 2.8.2.-) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 2) (GST-2) (N-acetylglucosamine 6-O-sulfotransferase 1) (GlcNAc6ST-1) (Gn6ST-1);CHST2 GN6ST;Homo sapiens (Human)
Q9H2A9;CHST8_HUMAN;reviewed;Carbohydrate sulfotransferase 8 (EC 2.8.2.-) (GalNAc-4-O-sulfotransferase 1) (GalNAc-4-ST1) (GalNAc4ST-1) (N-acetylgalactosamine-4-O-sulfotransferase 1);CHST8;Homo sapiens (Human)
Q8WTT0;CLC4C_HUMAN;reviewed;C-type lectin domain family 4 member C (Blood dendritic cell antigen 2) (BDCA-2) (C-type lectin superfamily member 7) (Dendritic lectin) (CD antigen CD303);CLEC4C BDCA2 CLECSF11 CLECSF7 DLEC HECL UNQ9361/PRO34150;Homo sapiens (Human)
Q6UXB4;CLC4G_HUMAN;reviewed;C-type lectin domain family 4 member G (Liver and lymph node sinusoidal endothelial cell C-type lectin) (LSECtin);CLEC4G UNQ431/PRO792;Homo sapiens (Human)
P21964;COMT_HUMAN;reviewed;Catechol O-methyltransferase (EC 2.1.1.6);COMT;Homo sapiens (Human)
O75503;CLN5_HUMAN;reviewed;Ceroid-lipofuscinosis neuronal protein 5 (Protein CLN5) [Cleaved into: Ceroid-lipofuscinosis neuronal protein 5, secreted form];CLN5;Homo sapiens (Human)
Q5TAT6;CODA1_HUMAN;reviewed;Collagen alpha-1(XIII) chain (COLXIIIA1);COL13A1;Homo sapiens (Human)
Q86Y22;CONA1_HUMAN;reviewed;Collagen alpha-1(XXIII) chain;COL23A1;Homo sapiens (Human)
Q9BXS0;COPA1_HUMAN;reviewed;Collagen alpha-1(XXV) chain (Alzheimer disease amyloid-associated protein) (AMY) (CLAC-P) [Cleaved into: Collagen-like Alzheimer amyloid plaque component (CLAC)];COL25A1;Homo sapiens (Human)
Q9UMD9;COHA1_HUMAN;reviewed;"Collagen alpha-1(XVII) chain (180 kDa bullous pemphigoid antigen 2) (Bullous pemphigoid antigen 2) [Cleaved into: 120 kDa linear IgA disease antigen (120 kDa linear IgA dermatosis antigen) (Linear IgA disease antigen 1) (LAD-1); 97 kDa linear IgA disease antigen (97 kDa linear IgA bullous dermatosis antigen) (97 kDa LAD antigen) (97-LAD) (Linear IgA bullous disease antigen of 97 kDa) (LABD97)]";COL17A1 BP180 BPAG2;Homo sapiens (Human)
Q86W10;CP4Z1_HUMAN;reviewed;Cytochrome P450 4Z1 (EC 1.14.14.1) (CYPIVZ1);CYP4Z1 UNQ3060/PRO9882;Homo sapiens (Human)
Q96BA8;CR3L1_HUMAN;reviewed;Cyclic AMP-responsive element-binding protein 3-like protein 1 (cAMP-responsive element-binding protein 3-like protein 1) (Old astrocyte specifically-induced substance) (OASIS) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3-like protein 1];CREB3L1 OASIS PSEC0238;Homo sapiens (Human)
Q68CJ9;CR3L3_HUMAN;reviewed;Cyclic AMP-responsive element-binding protein 3-like protein 3 (cAMP-responsive element-binding protein 3-like protein 3) (Transcription factor CREB-H) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3-like protein 3];CREB3L3 CREBH HYST1481;Homo sapiens (Human)
Q70SY1;CR3L2_HUMAN;reviewed;Cyclic AMP-responsive element-binding protein 3-like protein 2 (cAMP-responsive element-binding protein 3-like protein 2) (BBF2 human homolog on chromosome 7) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3-like protein 2];CREB3L2 BBF2H7;Homo sapiens (Human)
Q8N1L4;CP4Z2_HUMAN;reviewed;Putative inactive cytochrome P450 family member 4Z2;CYP4Z2P;Homo sapiens (Human)
Q8TEY5;CR3L4_HUMAN;reviewed;Cyclic AMP-responsive element-binding protein 3-like protein 4 (cAMP-responsive element-binding protein 3-like protein 4) (Androgen-induced basic leucine zipper protein) (AIbZIP) (Attaching to CRE-like 1) (ATCE1) (Cyclic AMP-responsive element-binding protein 4) (CREB-4) (cAMP-responsive element-binding protein 4) (Transcript induced in spermiogenesis protein 40) (Tisp40) (hJAL) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3-like protein 4];CREB3L4 AIBZIP CREB4 JAL;Homo sapiens (Human)
P28845;DHI1_HUMAN;reviewed;Corticosteroid 11-beta-dehydrogenase isozyme 1 (EC 1.1.1.146) (11-beta-hydroxysteroid dehydrogenase 1) (11-DH) (11-beta-HSD1) (Short chain dehydrogenase/reductase family 26C member 1);HSD11B1 HSD11 HSD11L SDR26C1;Homo sapiens (Human)
Q8IUS5;EPHX4_HUMAN;reviewed;Epoxide hydrolase 4 (EC 3.3.-.-) (Abhydrolase domain-containing protein 7) (Epoxide hydrolase-related protein);EPHX4 ABHD7 EH4 EPHXRP;Homo sapiens (Human)
O75477;ERLN1_HUMAN;reviewed;Erlin-1 (Endoplasmic reticulum lipid raft-associated protein 1) (Protein KE04) (Stomatin-prohibitin-flotillin-HflC/K domain-containing protein 1) (SPFH domain-containing protein 1);ERLIN1 C10orf69 KE04 KEO4 SPFH1;Homo sapiens (Human)
Q92935;EXTL1_HUMAN;reviewed;Exostosin-like 1 (EC 2.4.1.224) (Exostosin-L) (Glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) (Multiple exostosis-like protein);EXTL1 EXTL;Homo sapiens (Human)
Q6UWH4;F198B_HUMAN;reviewed;Protein FAM198B (Expressed in nerve and epithelium during development);FAM198B C4orf18 ENED AD021 UNQ2512/PRO6001;Homo sapiens (Human)
Q9NZ08;ERAP1_HUMAN;reviewed;Endoplasmic reticulum aminopeptidase 1 (EC 3.4.11.-) (ARTS-1) (Adipocyte-derived leucine aminopeptidase) (A-LAP) (Aminopeptidase PILS) (Puromycin-insensitive leucyl-specific aminopeptidase) (PILS-AP) (Type 1 tumor necrosis factor receptor shedding aminopeptidase regulator);ERAP1 APPILS ARTS1 KIAA0525 UNQ584/PRO1154;Homo sapiens (Human)
Q5T7M9;FA69A_HUMAN;reviewed;Protein FAM69A;FAM69A;Homo sapiens (Human)
Q5VUD6;FA69B_HUMAN;reviewed;Protein FAM69B;FAM69B C9orf136 PP6977;Homo sapiens (Human)
P37059;DHB2_HUMAN;reviewed;Estradiol 17-beta-dehydrogenase 2 (EC 1.1.1.62) (17-beta-hydroxysteroid dehydrogenase type 2) (17-beta-HSD 2) (20 alpha-hydroxysteroid dehydrogenase) (20-alpha-HSD) (E2DH) (Microsomal 17-beta-hydroxysteroid dehydrogenase) (Short chain dehydrogenase/reductase family 9C member 2) (Testosterone 17-beta-dehydrogenase) (EC 1.1.1.239);HSD17B2 EDH17B2 SDR9C2;Homo sapiens (Human)
P09172;DOPO_HUMAN;reviewed;Dopamine beta-hydroxylase (EC 1.14.17.1) (Dopamine beta-monooxygenase) [Cleaved into: Soluble dopamine beta-hydroxylase];DBH;Homo sapiens (Human)
Q8N608;DPP10_HUMAN;reviewed;Inactive dipeptidyl peptidase 10 (Dipeptidyl peptidase IV-related protein 3) (DPRP-3) (Dipeptidyl peptidase X) (DPP X) (Dipeptidyl peptidase-like protein 2) (DPL2);DPP10 DPRP3 KIAA1492;Homo sapiens (Human)
P42658;DPP6_HUMAN;reviewed;Dipeptidyl aminopeptidase-like protein 6 (DPPX) (Dipeptidyl aminopeptidase-related protein) (Dipeptidyl peptidase 6) (Dipeptidyl peptidase IV-like protein) (Dipeptidyl peptidase VI) (DPP VI);DPP6;Homo sapiens (Human)
O60344;ECE2_HUMAN;reviewed;"Endothelin-converting enzyme 2 (ECE-2) [Includes: Methyltransferase-like region (EC 2.1.1.-); Endothelin-converting enzyme 2 region (EC 3.4.24.71)]";ECE2 KIAA0604 UNQ403/PRO740;Homo sapiens (Human)
Q6IAN0;DRS7B_HUMAN;reviewed;Dehydrogenase/reductase SDR family member 7B (EC 1.1.-.-) (Short-chain dehydrogenase/reductase family 32C member 1);DHRS7B SDR32C1 CGI-93 UNQ212/PRO238;Homo sapiens (Human)
O94905;ERLN2_HUMAN;reviewed;Erlin-2 (Endoplasmic reticulum lipid raft-associated protein 2) (Stomatin-prohibitin-flotillin-HflC/K domain-containing protein 2) (SPFH domain-containing protein 2);ERLIN2 C8orf2 SPFH2 UNQ2441/PRO5003/PRO9924;Homo sapiens (Human)
P42892;ECE1_HUMAN;reviewed;Endothelin-converting enzyme 1 (ECE-1) (EC 3.4.24.71);ECE1;Homo sapiens (Human)
O95672;ECEL1_HUMAN;reviewed;Endothelin-converting enzyme-like 1 (EC 3.4.24.-) (Xce protein);ECEL1 XCE UNQ2431/PRO4991;Homo sapiens (Human)
P98073;ENTK_HUMAN;reviewed;"Enteropeptidase (EC 3.4.21.9) (Enterokinase) (Serine protease 7) (Transmembrane protease serine 15) [Cleaved into: Enteropeptidase non-catalytic heavy chain; Enteropeptidase catalytic light chain]";TMPRSS15 ENTK PRSS7;Homo sapiens (Human)
O75354;ENTP6_HUMAN;reviewed;Ectonucleoside triphosphate diphosphohydrolase 6 (NTPDase 6) (EC 3.6.1.6) (CD39 antigen-like 2);ENTPD6 CD39L2 IL6ST2;Homo sapiens (Human)
Q92611;EDEM1_HUMAN;reviewed;ER degradation-enhancing alpha-mannosidase-like protein 1;EDEM1 EDEM KIAA0212;Homo sapiens (Human)
