target,target_id,target_gene_symbol,target_uniprot,target_ensembl_gene_id,target_ligand,target_ligand_id,target_ligand_gene_symbol,target_ligand_ensembl_gene_id,target_ligand_uniprot,target_ligand_pubchem_sid,target_species,ligand,ligand_id,ligand_gene_symbol,ligand_species,ligand_pubchem_sid,type,action,action_comment,selectivity,endogenous,primary_target,concentration_range,affinity_units,affinity_high,affinity_median,affinity_low,original_affinity_units,original_affinity_low_nm,original_affinity_median_nm,original_affinity_high_nm,original_affinity_relation,assay_description,receptor_site,ligand_context,pubmed_id
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,TFMPP,115,,,135651253,Agonist,Full agonist,,,f,,"",pKi,,7.5,,,,,,,,,,15322733
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,tryptamine,125,,,135651581,Agonist,Full agonist,,,t,,"",pKi,,7.1,,,,,,,,,,8114677
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,tryptamine,125,,,135651581,Agonist,Full agonist,,,t,,"",pKi,7.6,,5.5,,,,,,,,,15322733|2233697|8114677
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,VER-3323,168,,,135651304,Agonist,Full agonist,,,f,,"",pKi,,6.4,,,,,,,,,,15322733
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,aripiprazole,34,,,135649956,Agonist,Partial agonist,"",Not Determined,f,f,"",pKi,8.10000038146973,,7.5,-,,,,=,"","","",12784105|12629531
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,aripiprazole,34,,,135649956,Agonist,Partial agonist,"",Not Determined,f,f,"",pKi,,7.69999980926514,,-,,,,=,"","","",12784105
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,bromocriptine,35,,,135650026,Agonist,Partial agonist,,,f,,"",pKi,,7,,,,,,,,,,12388666
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,capeserod,29,,,135651059,Agonist,Partial agonist,,,f,,"",pKi,,5.9,,,,,,,,,,12130738
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,ergotamine,149,,,135650239,Agonist,Partial agonist,,,f,,"",pKi,,9,,,,,,,,,,15322733
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,ergotamine,149,,,135650239,Agonist,Partial agonist,,,f,,"",pKi,,8,,,,,,,,,,11104741
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,<i>m</i>-chlorophenylpiperazine,142,,,135650382,Agonist,Partial agonist,,,f,,"",pKi,,6.4,,,,,,,,,,11104741
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,<i>m</i>-chlorophenylpiperazine,142,,,135650382,Agonist,Partial agonist,,,f,,"",pKi,7.5,,6.8,,,,,,,,,15322733|8534270|9933142
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,lisuride,43,,,135650525,Agonist,Partial agonist,,,f,,"",pKi,,8.6,,,,,,,,,,12388666
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,methysergide,134,,,135650596,Agonist,Partial agonist,,,f,,"",pKi,,7.8,,,,,,,,,,11104741
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,terguride,56,,,135651246,Agonist,Partial agonist,,,f,,"",pKi,,8.3,,,,,,,,,,12388666
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,9-OH-risperidone,67,,,135649866,Antagonist,Antagonist,,,f,,"",pKi,,9,,,,,,,,,,8935801
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,agomelatine,198,,,135649906,Antagonist,Antagonist,,,f,,"",pKi,,5.4,,,,,,,,,,12750432
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,amesergide,199,,,135649933,Antagonist,Antagonist,,,f,,"",pKi,,8.5,,,,,,,,,,8114677
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,amesergide,199,,,135649933,Antagonist,Antagonist,,,f,,"",pKi,,8,,,,,,,,,,8114677
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,amitriptyline,200,,,135649939,Antagonist,Antagonist,"",Not Determined,f,f,"",pKi,,7.96000003814697,,Ki,,11,,=,"","","",10379421
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,amitriptyline,200,,,135649939,Antagonist,Antagonist,,,f,,"",pKi,,8.4,,,,,,,,,,8876023
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,amoxapine,201,,,135649941,Antagonist,Antagonist,,,f,,"",pKi,,9,,,,,,,,,,8876023
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,apomorphine,33,,,135649950,Antagonist,Antagonist,,,f,,"",pKi,,6.9,,,,,,,,,,12388666
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,asenapine,22,,,135650779,Antagonist,Antagonist,"",Not Determined,f,t,"",pKi,,10.2200002670288,,Ki,,0.0599999986588955,,=,"","","",18308814
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,BF-1,8424,,,252166634,Antagonist,Antagonist,"",Not Determined,f,f,"",pKi,,8.55000019073486,,-,,,,=,"","","",25666387
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,blonanserin,7670,,,223366005,Antagonist,Antagonist,"",Not Determined,f,t,"",pKi,,9.09000015258789,,Ki,,0.810000002384186,,=,"","","",15686911
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,bufotenine,144,,,135650030,Antagonist,Antagonist,,,f,,"",pKi,,6.8,,,,,,,,,,8663249
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,(+)-butaclamol,62,,,135650036,Antagonist,Antagonist,,,f,,"",pKi,,8.6,,,,,,,,,,2233697
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,compound 3b [PMID:28943244],9825,,,354702296,Antagonist,Antagonist,"",Selective,f,t,"",pKi,,10.6499996185303,,Ki,,0.0223999992012978,,=,"","","",28943244
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,cyamemazine,84,,,135650143,Antagonist,Antagonist,,,f,,"",pKi,,8.8,,,,,,,,,,12527336
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,duloxetine,202,,,135650212,Antagonist,Antagonist,,,f,,"",pKi,,6.3,,,,,,,,,,11750180
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,EGIS-7625,176,,,135650223,Antagonist,Antagonist,,,f,,"",pKi,,6.5,,,,,,,,,,15107597
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,EGIS-7625,176,,,135650223,Antagonist,Antagonist,,,f,,"",pKi,,6.2,,,,,,,,,,15107597
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,flibanserin,8182,,,249565862,Antagonist,Antagonist,"",Not Determined,f,t,"",pKi,,7.30999994277954,,Ki,,49,,=,"","","",12177684
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,fluoxetine,203,,,135650270,Antagonist,Antagonist,,,f,,"",pKi,,6.5,,,,,,,,,,11104741
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,fluphenazine,204,,,135650275,Antagonist,Antagonist,,,f,,"",pKi,,7.5,,,,,,,,,,12629531
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,fluspirilene,85,,,135650278,Antagonist,Antagonist,,,f,,"",pKi,,8,,,,,,,,,,8935801
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,glemanserin,186,,,135650574,Antagonist,Antagonist,,,f,,"",pKi,,7.6,,,,,,,,,,15322733
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,H05,9880,,,363894174,Antagonist,Antagonist,"",Not Determined,f,f,"",pIC50,,7.21999979019165,,IC50,,60.3699989318848,,=,"","","",29615471
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,haloperidol,86,,,135650345,Antagonist,Antagonist,"",Not Determined,f,t,"",pKi,7.30000019073486,,6.69999980926514,-,,,,=,"","","",8935801|9732398|12629531|15102927|18308814
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,haloperidol,86,,,135650345,Antagonist,Antagonist,,,f,,"",pKi,,7.4,,,,,,,,,,9655845
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,ketanserin,88,,,135650453,Antagonist,Antagonist,"",Selective,f,f,"",pKi,9.69999980926514,,8.10000038146973,Ki,7.94000005722046,,0.199000000953674,=,"","","",15322733|8845011|12738034
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,ketanserin,88,,,135650453,Antagonist,Antagonist,,,f,,"",pKi,9,,8.6,,,,,,,,,11040033|9655845
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,"L-741,626",177,,,135650487,Antagonist,Antagonist,,,f,,"",pKi,,6.5,,,,,,,,,,10869410
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,lumateperone,9099,,,315661184,Antagonist,Antagonist,"",Not Determined,f,f,"",pKi,,9.30000019073486,,Ki,,0.5,,=,"","","",25120104|24559051
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,lurasidone,7461,,,187051764,Antagonist,Antagonist,"",Not Determined,f,f,"",pKi,,8.6899995803833,,Ki,,2.02999997138977,,=,"","","",20404009
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,LY063518,178,,,135650540,Antagonist,Antagonist,,,f,,"",pKi,,6.9,,,,,,,,,,8845011
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,LY108742,179,,,135650541,Antagonist,Antagonist,,,f,,"",pKi,,8.4,,,,,,,,,,8114677
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,LY215840,180,,,135650544,Antagonist,Antagonist,,,f,,"",pKi,,8.5,,,,,,,,,,8114677
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,LY215840,180,,,135650544,Antagonist,Antagonist,,,f,,"",pKi,,7.9,,,,,,,,,,8114677
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,LY314228,181,,,135650547,Antagonist,Antagonist,,,f,,"",pKi,,7.2,,,,,,,,,,8845011
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,LY320954,182,,,135650549,Antagonist,Antagonist,,,f,,"",pKi,,7,,,,,,,,,,8845011
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,LY53857,183,,,135650560,Antagonist,Antagonist,,,f,,"",pKi,,8.5,,,,,,,,,,8114677
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,LY53857,183,,,135650560,Antagonist,Antagonist,,,f,,"",pKi,,7.6,,,,,,,,,,8114677
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,LY86057,184,,,135650561,Antagonist,Antagonist,,,f,,"",pKi,,9.2,,,,,,,,,,8114677
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,LY86057,184,,,135650561,Antagonist,Antagonist,,,f,,"",pKi,,7.8,,,,,,,,,,8114677
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,mesoridazine,7227,,,178103801,Antagonist,Antagonist,"",Not Determined,f,f,"",pKi,,7.26000022888184,,Ki,,55,,=,"","","",15357957
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,mesulergine,206,,,135650580,Antagonist,Antagonist,,,f,,"",pKi,,8.6,,,,,,,,,,8114677
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,mesulergine,206,,,135650580,Antagonist,Antagonist,,,f,,"",pKi,7.5,,7,,,,,,,,,15322733|8534270
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,metergoline,133,,,135650581,Antagonist,Antagonist,,,f,,"",pKi,,8.6,,,,,,,,,,15322733
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,methiothepin,89,,,135650584,Antagonist,Antagonist,,,f,,"",pKi,,8.5,,,,,,,,,,15322733
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,methysergide,134,,,135650596,Antagonist,Antagonist,,,f,,"",pKi,,8.4,,,,,,,,,,15322733
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,methysergide,134,,,135650596,Antagonist,Antagonist,,,f,,"",pKi,9.5,,8.4,,,,,,,,,9655845|15107597
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,mianserin,135,,,135650606,Antagonist,Antagonist,"",Not Determined,f,t,"",pKi,9.60000038146973,,7.69999980926514,-,,,,=,"","","",10611634|15322733|15107597
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,mianserin,135,,,135650606,Antagonist,Antagonist,,,f,,"",pKi,9,,8.4,,,,,,,,,9655845|8876023
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,mirtazapine,7241,,,178103815,Antagonist,Antagonist,"",Not Determined,f,t,"",pKi,,7.15999984741211,,Ki,,69,,=,"","","",15771415
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,molindone,207,,,135650621,Antagonist,Antagonist,"",Not Determined,f,t,"",pKi,,6.5,,-,,,,=,"","","",12629531
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,MPDT,71,,,135650627,Antagonist,Antagonist,,,f,,"",pKi,,6.3,,,,,,,,,,10715164
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,nefazodone,7247,,,178103821,Antagonist,Antagonist,"",Not Determined,f,t,"",pKi,,8.23999977111816,,Ki,,5.80000019073486,,=,"","","",21823597
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,norfluoxetine,208,,,135650734,Antagonist,Antagonist,,,f,,"",pKi,,6.2,,,,,,,,,,11104741
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,olanzapine,47,,,135650756,Antagonist,Antagonist,"",Not Determined,f,t,"",pKi,8.89999961853027,,8.60000038146973,-,,,,=,"","","",8935801|12629531|12176106|18308814
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,perospirone,7556,,,223365892,Antagonist,Antagonist,"",Not Determined,f,f,"",pKi,,4.73999977111816,,Ki,,18000,,=,"","","",1060115
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,perphenazine,209,,,135650810,Antagonist,Antagonist,,,f,,"",pKi,,8.2,,,,,,,,,,12629531
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,pimozide,90,,,135650825,Antagonist,Antagonist,"",Not Determined,f,t,"",pKi,7.69999980926514,,7.09999990463257,-,,,,=,"","","",12629531|12176106
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,pindolol,91,,,135650827,Antagonist,Antagonist,,,f,,"",pKi,,5,,,,,,,,,,15322733
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,pipamperone,92,,,135650830,Antagonist,Antagonist,,,f,,"",pKi,,8.3,,,,,,,,,,8935801
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,quetiapine,50,,,135650869,Antagonist,Antagonist,"",Not Determined,f,t,"",pKi,7,,6.40000009536743,-,,,,=,"","","",12629531|12176106
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,risperidone,96,,,135650903,Antagonist,Antagonist,,,f,,"",pKi,,8.5,,,,,,,,,,9655845
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,ritanserin,97,,,135650904,Antagonist,Antagonist,,,f,,"",pKi,,9.4,,,,,,,,,,10188965
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,ritanserin,97,,,135650904,Antagonist,Antagonist,,,f,,"",pKi,,9.2,,,,,,,,,,11040033|10188965
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,ritanserin,97,,,135650904,Antagonist,Antagonist,,,f,,"",pKi,,8.3,,,,,,,,,,15322733
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,roxindole,52,,,135650930,Antagonist,Antagonist,,,f,,"",pKi,,8.2,,,,,,,,,,12388666
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,RS-102221,187,,,135650934,Antagonist,Antagonist,,,f,,"",pKi,,6.8,,,,,,,,,,9225287
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,RS-102221,187,,,135650934,Antagonist,Antagonist,,,f,,"",pKi,6,,5.5,,,,,,,,,15322733|9225287
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,RS-127445,188,,,135650939,Antagonist,Antagonist,,,f,,"",pKi,,6,,,,,,,,,,15322733
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,S33084,129,,,135650970,Antagonist,Antagonist,,,f,,"",pKi,,6,,,,,,,,,,10869410
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,sarpogrelate,210,,,135650981,Antagonist,Antagonist,,,f,,"",pKi,,8.5,,,,,,,,,,12738034
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,SB 206553,189,,,135650985,Antagonist,Antagonist,,,f,,"",pKi,5.8,,5.6,,,,,,,,,15322733|8821530
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,SB 215505,190,,,135650987,Antagonist,Antagonist,,,f,,"",pKi,,6.8,,,,,,,,,,10188965
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,SB 221284,191,,,135650990,Antagonist,Antagonist,,,f,,"",pKi,,6.3,,,,,,,,,,15322733
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,SB 224289,130,,,135650993,Antagonist,Antagonist,,,f,,"",pKi,,5.3,,,,,,,,,,15322733
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,SB 228357,192,,,135650995,Antagonist,Antagonist,,,f,,"",pKi,7,,6.9,,,,,,,,,10188965|10737744
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,SB 242084,193,,,135650998,Antagonist,Antagonist,,,f,,"",pKi,6.8,,6.1,,,,,,,,,15322733|9225286
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,SB 243213,194,,,135650999,Antagonist,Antagonist,,,f,,"",pKi,,6.8,,,,,,,,,,10737744
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,SDZ SER-082,195,,,135651035,Antagonist,Antagonist,,,f,,"",pKi,,6.3,,,,,,,,,,15322733
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,sergolexole,211,,,135651036,Antagonist,Antagonist,,,f,,"",pKi,,8.4,,,,,,,,,,8114677
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,sergolexole,211,,,135651036,Antagonist,Antagonist,,,f,,"",pKi,,7.7,,,,,,,,,,8114677
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,sertindole,98,,,135651037,Antagonist,Antagonist,"",Not Determined,f,t,"",pKi,9.39999961853027,,9.19999980926514,-,,,,=,"","","",8935801|12629531|12176106
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,spiperone,99,,,135651064,Antagonist,Antagonist,,,f,,"",pKi,9.2,,9,,,,,,,,,11040033|9655845
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,spiperone,99,,,135651064,Antagonist,Antagonist,,,f,,"",pKi,9.4,,7.8,,,,,,,,,15322733|8534270|2233697
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,spiramide,175,,,135649934,Antagonist,Antagonist,,,f,,"",pKi,,7.6,,,,,,,,,,15322733
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,[<sup>11</sup>C]GSK215083,8430,,,252166640,Antagonist,Antagonist,"",Not Determined,f,f,"",pKi,,9.10000038146973,,Ki,,0.790000021457672,,=,"","","",22223878
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,[<sup>11</sup>C]volinanserin,3249,,,135651096,Antagonist,Antagonist,"",Not Determined,f,f,"",-,,,,-,,,,=,"","","",11044889
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,[<sup>18</sup>F]altanserin,3242,,,135651121,Antagonist,Antagonist,"",Not Determined,f,f,"",-,,,,-,,,,=,"","","",9027929
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,[<sup>3</sup>H]fananserin,3229,,,178100286,Antagonist,Antagonist,"",Not Determined,f,,"",pKd,,9.9,,Kd,,0.13,,=,"","","",8472747
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,[<sup>3</sup>H]<i>N</i>-methylspiperone,196,,,135651163,Antagonist,Antagonist,,,f,,"",pKd,,9.1,,,,,,,,,,11040033
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,[<sup>3</sup>H]ketanserin,197,,,135651169,Antagonist,Antagonist,,,f,,"",pKd,,8.8,,,,,,,,,,11040033
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,[<sup>3</sup>H]ketanserin,197,,,135651169,Antagonist,Antagonist,"",Not Determined,f,,"",pKd,9.7,,8.6,Kd,2.9,,0.2,=,"","","",15322733|12738034
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,thioridazine,100,,,135651259,Antagonist,Antagonist,"",Not Determined,f,t,"",pKi,8,,7.40000009536743,-,,,,=,"","","",12629531|12176106
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,thiothixene,212,,,135651260,Antagonist,Antagonist,"",Not Determined,f,t,"",pKi,,7.30000019073486,,-,,,,=,"","","",12629531
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,trazodone,213,,,135651275,Antagonist,Antagonist,,,f,,"",pKi,8.2,,7.7,,,,,,,,,11104741|8876023
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,trazodone,213,,,135651275,Antagonist,Antagonist,"",Not Determined,f,t,"",pKi,,7.40000009536743,,-,,,,=,"","","",15322733
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,trifluoperazine,214,,,135651279,Antagonist,Antagonist,"",Not Determined,f,f,"",pKi,,7.90000009536743,,-,,,,=,"","","",12629531
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,volinanserin,185,,,135650573,Antagonist,Antagonist,"",Not Determined,f,,"",pIC50,9.3,,6.5,-,,,,=,"","","",15322733|11562430|10188965
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,vortioxetine,7351,,,178103923,Antagonist,Antagonist,"",Non-selective,f,f,"",pKi,,6.73999977111816,,Ki,,180,,=,"","","",21486038
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,xanomeline,57,,,135651331,Antagonist,Antagonist,,,f,,"",pKi,,6.9,,,,,,,,,,9884068
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,ziprasidone,59,,,135651359,Antagonist,Antagonist,"",Not Determined,f,t,"",pKi,9.51000022888184,,8.80000019073486,-,,,,=,"","","",8935801|12629531|12176106|18308814
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,zotepine,103,,,135651367,Antagonist,Antagonist,,,f,,"",pKi,,8.6,,,,,,,,,,8935801
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,AC-90179,174,,,135649884,Antagonist,Inverse agonist,,,f,,"",pKi,,9.7,,,,,,,,,,15102927
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,chlorpromazine,83,,,135650088,Antagonist,Inverse agonist,"",Not Determined,f,t,"",pKi,,8.10000038146973,,-,,,,=,"","","",12629531
5-HT<sub>2A</sub> receptor,6,Htr2a,P14842,ENSRNOG00000010063,,,,,,,Rat,chlorpromazine,83,,,135650088,Antagonist,Inverse agonist,,,f,,"",pKi,,8.7,,,,,,,,,,9655845
5-HT<sub>2A</sub> receptor,6,HTR2A,P28223,ENSG00000102468,,,,,,,Human,clozapine,38,,,135650115,Antagonist,Inverse agonist,"",Not Determined,f,t,"",pKi,9,,7.59999990463257,-,,,,=,"","","",8935801|9732398|15322733|12629531|15102927
