Entry	Entry name	Status	Protein names	Gene names	Organism	Length
O15146	MUSK_HUMAN	reviewed	Muscle, skeletal receptor tyrosine-protein kinase (EC 2.7.10.1) (Muscle-specific tyrosine-protein kinase receptor) (MuSK) (Muscle-specific kinase receptor)	MUSK	Homo sapiens (Human)	869
Q9BXS6	NUSAP_HUMAN	reviewed	Nucleolar and spindle-associated protein 1 (NuSAP)	NUSAP1 ANKT BM-037 PRO0310	Homo sapiens (Human)	441
Q6ZS72	PEAK3_HUMAN	reviewed	Uncharacterized protein PEAK3	PEAK3 C19orf35	Homo sapiens (Human)	473
Q96H55	MYO19_HUMAN	reviewed	Unconventional myosin-XIX (Myosin head domain-containing protein 1)	MYO19 MYOHD1	Homo sapiens (Human)	970
Q32MK0	MYLK3_HUMAN	reviewed	Myosin light chain kinase 3 (EC 2.7.11.18) (Cardiac-MyBP-C-associated Ca/CaM kinase) (Cardiac-MLCK)	MYLK3 MLCK	Homo sapiens (Human)	819
Q7Z406	MYH14_HUMAN	reviewed	Myosin-14 (Myosin heavy chain 14) (Myosin heavy chain, non-muscle IIc) (Non-muscle myosin heavy chain IIc) (NMHC II-C)	MYH14 KIAA2034 FP17425	Homo sapiens (Human)	1995
Q9H6N6	MYH16_HUMAN	reviewed	Putative uncharacterized protein MYH16 (Myosin heavy chain 16 pseudogene) (myosin heavy polypeptide 5)	MYH16 MYH5	Homo sapiens (Human)	1097
Q9Y623	MYH4_HUMAN	reviewed	Myosin-4 (Myosin heavy chain 2b) (MyHC-2b) (Myosin heavy chain 4) (Myosin heavy chain IIb) (MyHC-IIb) (Myosin heavy chain, skeletal muscle, fetal)	MYH4	Homo sapiens (Human)	1939
P04198	MYCN_HUMAN	reviewed	N-myc proto-oncogene protein (Class E basic helix-loop-helix protein 37) (bHLHe37)	MYCN BHLHE37 NMYC	Homo sapiens (Human)	464
Q6PIF6	MYO7B_HUMAN	reviewed	Unconventional myosin-VIIb	MYO7B	Homo sapiens (Human)	2116
Q14896	MYPC3_HUMAN	reviewed	Myosin-binding protein C, cardiac-type (Cardiac MyBP-C) (C-protein, cardiac muscle isoform)	MYBPC3	Homo sapiens (Human)	1274
Q6NSJ0	MYORG_HUMAN	reviewed	Myogenesis-regulating glycosidase (EC 3.2.1.-) (Uncharacterized family 31 glucosidase KIAA1161)	MYORG KIAA1161	Homo sapiens (Human)	714
Q9HD67	MYO10_HUMAN	reviewed	Unconventional myosin-X (Unconventional myosin-10)	MYO10 KIAA0799	Homo sapiens (Human)	2058
Q8TDC0	MYOZ3_HUMAN	reviewed	Myozenin-3 (Calsarcin-3) (FATZ-related protein 3)	MYOZ3 FRP3	Homo sapiens (Human)	251
Q99972	MYOC_HUMAN	reviewed	Myocilin (Myocilin 55 kDa subunit) (Trabecular meshwork-induced glucocorticoid response protein) [Cleaved into: Myocilin, N-terminal fragment (Myocilin 20 kDa N-terminal fragment); Myocilin, C-terminal fragment (Myocilin 35 kDa N-terminal fragment)]	MYOC GLC1A TIGR	Homo sapiens (Human)	504
Q9UJ68	MSRA_HUMAN	reviewed	Mitochondrial peptide methionine sulfoxide reductase (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase) (Protein-methionine-S-oxide reductase) (PMSR)	MSRA	Homo sapiens (Human)	235
Q96H12	MSD3_HUMAN	reviewed	Myb/SANT-like DNA-binding domain-containing protein 3	MSANTD3 C9orf30 L8	Homo sapiens (Human)	275
O43347	MSI1H_HUMAN	reviewed	RNA-binding protein Musashi homolog 1 (Musashi-1)	MSI1	Homo sapiens (Human)	362
Q8IVN3	MSTN1_HUMAN	reviewed	Musculoskeletal embryonic nuclear protein 1	MUSTN1	Homo sapiens (Human)	82
P28360	MSX1_HUMAN	reviewed	Homeobox protein MSX-1 (Homeobox protein Hox-7) (Msh homeobox 1-like protein)	MSX1 HOX7	Homo sapiens (Human)	303
P80294	MT1H_HUMAN	reviewed	Metallothionein-1H (MT-1H) (Metallothionein-0) (MT-0) (Metallothionein-IH) (MT-IH)	MT1H	Homo sapiens (Human)	61
Q96QG7	MTMR9_HUMAN	reviewed	Myotubularin-related protein 9 (Inactive phosphatidylinositol 3-phosphatase 9)	MTMR9 C8orf9 MTMR8	Homo sapiens (Human)	549
A4FU01	MTMRB_HUMAN	reviewed	Myotubularin-related protein 11 (Cisplatin resistance-associated protein) (hCRA) (Inactive phosphatidylinositol 3-phosphatase 11)	MTMR11	Homo sapiens (Human)	709
Q8NCE2	MTMRE_HUMAN	reviewed	Myotubularin-related protein 14 (EC 3.1.3.-) (HCV NS5A-transactivated protein 4 splice variant A-binding protein 1) (NS5ATP4ABP1) (hJumpy)	MTMR14 C3orf29	Homo sapiens (Human)	650
Q96GX9	MTNB_HUMAN	reviewed	Methylthioribulose-1-phosphate dehydratase (MTRu-1-P dehydratase) (EC 4.2.1.109) (APAF1-interacting protein) (hAPIP)	APIP CGI-29	Homo sapiens (Human)	242
Q8IUG5	MY18B_HUMAN	reviewed	Unconventional myosin-XVIIIb	MYO18B	Homo sapiens (Human)	2567
Q13203	MYBPH_HUMAN	reviewed	Myosin-binding protein H (MyBP-H) (H-protein)	MYBPH	Homo sapiens (Human)	477
O75592	MYCB2_HUMAN	reviewed	E3 ubiquitin-protein ligase MYCBP2 (EC 2.3.2.-) (Myc-binding protein 2) (Protein associated with Myc)	MYCBP2 KIAA0916 PAM	Homo sapiens (Human)	4678
P05976	MYL1_HUMAN	reviewed	Myosin light chain 1/3, skeletal muscle isoform (MLC1/MLC3) (MLC1F/MLC3F) (Myosin light chain alkali 1/2) (Myosin light chain A1/A2)	MYL1	Homo sapiens (Human)	194
P01106	MYC_HUMAN	reviewed	Myc proto-oncogene protein (Class E basic helix-loop-helix protein 39) (bHLHe39) (Proto-oncogene c-Myc) (Transcription factor p64)	MYC BHLHE39	Homo sapiens (Human)	439
O43795	MYO1B_HUMAN	reviewed	Unconventional myosin-Ib (MYH-1c) (Myosin I alpha) (MMI-alpha) (MMIa)	MYO1B	Homo sapiens (Human)	1136
P60660	MYL6_HUMAN	reviewed	Myosin light polypeptide 6 (17 kDa myosin light chain) (LC17) (Myosin light chain 3) (MLC-3) (Myosin light chain alkali 3) (Myosin light chain A3) (Smooth muscle and nonmuscle myosin light chain alkali 6)	MYL6	Homo sapiens (Human)	151
Q8WY64	MYLIP_HUMAN	reviewed	E3 ubiquitin-protein ligase MYLIP (EC 2.3.2.27) (Inducible degrader of the LDL-receptor) (Idol) (Myosin regulatory light chain interacting protein) (MIR) (RING-type E3 ubiquitin transferase MYLIP)	MYLIP BZF1 IDOL BM-023 PP5242	Homo sapiens (Human)	445
Q00872	MYPC1_HUMAN	reviewed	Myosin-binding protein C, slow-type (Slow MyBP-C) (C-protein, skeletal muscle slow isoform)	MYBPC1 MYBPCS	Homo sapiens (Human)	1141
Q8N1T3	MYO1H_HUMAN	reviewed	Unconventional myosin-Ih (Myosin-1H)	MYO1H	Homo sapiens (Human)	1032
P15173	MYOG_HUMAN	reviewed	Myogenin (Class C basic helix-loop-helix protein 3) (bHLHc3) (Myogenic factor 4) (Myf-4)	MYOG BHLHC3 MYF4	Homo sapiens (Human)	224
P54296	MYOM2_HUMAN	reviewed	Myomesin-2 (165 kDa connectin-associated protein) (165 kDa titin-associated protein) (M-protein) (Myomesin family member 2)	MYOM2	Homo sapiens (Human)	1465
A0A1B0GTQ4	MYMX_HUMAN	reviewed	Protein myomixer (Microprotein inducer of fusion) (Protein minion) (hMINION)	MYMX	Homo sapiens (Human)	84
Q9UKN7	MYO15_HUMAN	reviewed	Unconventional myosin-XV (Unconventional myosin-15)	MYO15A MYO15	Homo sapiens (Human)	3530
P16284	PECA1_HUMAN	reviewed	Platelet endothelial cell adhesion molecule (PECAM-1) (EndoCAM) (GPIIA') (PECA1) (CD antigen CD31)	PECAM1	Homo sapiens (Human)	738
Q96RE7	NACC1_HUMAN	reviewed	Nucleus accumbens-associated protein 1 (NAC-1) (BTB/POZ domain-containing protein 14B)	NACC1 BTBD14B NAC1	Homo sapiens (Human)	527
O60356	NUPR1_HUMAN	reviewed	Nuclear protein 1 (Candidate of metastasis 1) (Protein p8)	NUPR1 COM1	Homo sapiens (Human)	82
Q96NY9	MUS81_HUMAN	reviewed	Crossover junction endonuclease MUS81 (EC 3.1.22.-)	MUS81	Homo sapiens (Human)	551
Q9UIF7	MUTYH_HUMAN	reviewed	Adenine DNA glycosylase (EC 3.2.2.31) (MutY homolog) (hMYH)	MUTYH MYH	Homo sapiens (Human)	546
Q14764	MVP_HUMAN	reviewed	Major vault protein (MVP) (Lung resistance-related protein)	MVP LRP	Homo sapiens (Human)	893
P43115	PE2R3_HUMAN	reviewed	Prostaglandin E2 receptor EP3 subtype (PGE receptor EP3 subtype) (PGE2 receptor EP3 subtype) (PGE2-R) (Prostanoid EP3 receptor)	PTGER3	Homo sapiens (Human)	390
Q96S97	MYADM_HUMAN	reviewed	Myeloid-associated differentiation marker (Protein SB135)	MYADM UNQ553/PRO1110	Homo sapiens (Human)	322
Q14324	MYPC2_HUMAN	reviewed	Myosin-binding protein C, fast-type (Fast MyBP-C) (C-protein, skeletal muscle fast isoform)	MYBPC2 MYBPCF	Homo sapiens (Human)	1141
Q8WXR4	MYO3B_HUMAN	reviewed	Myosin-IIIb (EC 2.7.11.1)	MYO3B	Homo sapiens (Human)	1341
P52179	MYOM1_HUMAN	reviewed	Myomesin-1 (190 kDa connectin-associated protein) (190 kDa titin-associated protein) (Myomesin family member 1)	MYOM1	Homo sapiens (Human)	1685
Q9Y4I1	MYO5A_HUMAN	reviewed	Unconventional myosin-Va (Dilute myosin heavy chain, non-muscle) (Myosin heavy chain 12) (Myosin-12) (Myoxin)	MYO5A MYH12	Homo sapiens (Human)	1855
Q9UBF9	MYOTI_HUMAN	reviewed	Myotilin (57 kDa cytoskeletal protein) (Myofibrillar titin-like Ig domains protein) (Titin immunoglobulin domain protein)	MYOT TTID	Homo sapiens (Human)	498
P25189	MYP0_HUMAN	reviewed	Myelin protein P0 (Myelin peripheral protein) (MPP) (Myelin protein zero)	MPZ	Homo sapiens (Human)	248
E9PAV3	NACAM_HUMAN	reviewed	Nascent polypeptide-associated complex subunit alpha, muscle-specific form (Alpha-NAC, muscle-specific form) (skNAC)	NACA	Homo sapiens (Human)	2078
O60683	PEX10_HUMAN	reviewed	Peroxisome biogenesis factor 10 (Peroxin-10) (Peroxisomal biogenesis factor 10) (Peroxisome assembly protein 10) (RING finger protein 69)	PEX10 RNF69	Homo sapiens (Human)	326
Q9NX02	NALP2_HUMAN	reviewed	NACHT, LRR and PYD domains-containing protein 2 (Nucleotide-binding site protein 1) (PYRIN domain and NACHT domain-containing protein 1) (PYRIN-containing APAF1-like protein 2)	NLRP2 NALP2 NBS1 PAN1 PYPAF2	Homo sapiens (Human)	1062
Q8N159	NAGS_HUMAN	reviewed	N-acetylglutamate synthase, mitochondrial (EC 2.3.1.1) (Amino-acid acetyltransferase) [Cleaved into: N-acetylglutamate synthase long form; N-acetylglutamate synthase short form; N-acetylglutamate synthase conserved domain form]	NAGS	Homo sapiens (Human)	534
Q8WY41	NANO1_HUMAN	reviewed	Nanos homolog 1 (NOS-1) (EC_Rep1a)	NANOS1 NOS1	Homo sapiens (Human)	292
P60321	NANO2_HUMAN	reviewed	Nanos homolog 2 (NOS-2)	NANOS2 NOS2	Homo sapiens (Human)	138
P52961	NAR1_HUMAN	reviewed	GPI-linked NAD(P)(+)--arginine ADP-ribosyltransferase 1 (EC 2.4.2.31) (ADP-ribosyltransferase C2 and C3 toxin-like 1) (ARTC1) (Mono(ADP-ribosyl)transferase 1) (CD antigen CD296)	ART1	Homo sapiens (Human)	327
Q96JP2	MY15B_HUMAN	reviewed	Unconventional myosin-XVB (Myosin XVBP) (Unconventional myosin-15B)	MYO15B KIAA1783 MYO15BP	Homo sapiens (Human)	1530
Q92614	MY18A_HUMAN	reviewed	Unconventional myosin-XVIIIa (Molecule associated with JAK3 N-terminus) (MAJN) (Myosin containing a PDZ domain) (Surfactant protein receptor SP-R210) (SP-R210)	MYO18A CD245 KIAA0216 MYSPDZ	Homo sapiens (Human)	2054
A0A1B0GUC4	MYCOS_HUMAN	reviewed	Myocilin opposite strand protein	MYOCOS	Homo sapiens (Human)	108
Q7Z401	MYCPP_HUMAN	reviewed	C-myc promoter-binding protein (DENN domain-containing protein 4A)	DENND4A IRLB MYCPBP	Homo sapiens (Human)	1863
Q96QE2	MYCT_HUMAN	reviewed	Proton myo-inositol cotransporter (H(+)-myo-inositol cotransporter) (Hmit) (H(+)-myo-inositol symporter) (Solute carrier family 2 member 13)	SLC2A13	Homo sapiens (Human)	648
P35579	MYH9_HUMAN	reviewed	Myosin-9 (Cellular myosin heavy chain, type A) (Myosin heavy chain 9) (Myosin heavy chain, non-muscle IIa) (Non-muscle myosin heavy chain A) (NMMHC-A) (Non-muscle myosin heavy chain IIa) (NMMHC II-a) (NMMHC-IIA)	MYH9	Homo sapiens (Human)	1960
P35749	MYH11_HUMAN	reviewed	Myosin-11 (Myosin heavy chain 11) (Myosin heavy chain, smooth muscle isoform) (SMMHC)	MYH11 KIAA0866	Homo sapiens (Human)	1972
Q9UBC5	MYO1A_HUMAN	reviewed	Unconventional myosin-Ia (Brush border myosin I) (BBM-I) (BBMI) (Myosin I heavy chain) (MIHC)	MYO1A MYHL	Homo sapiens (Human)	1043
P12882	MYH1_HUMAN	reviewed	Myosin-1 (Myosin heavy chain 1) (Myosin heavy chain 2x) (MyHC-2x) (Myosin heavy chain IIx/d) (MyHC-IIx/d) (Myosin heavy chain, skeletal muscle, adult 1)	MYH1	Homo sapiens (Human)	1939
P20592	MX2_HUMAN	reviewed	Interferon-induced GTP-binding protein Mx2 (Interferon-regulated resistance GTP-binding protein MxB) (Myxovirus resistance protein 2) (p78-related protein)	MX2	Homo sapiens (Human)	715
B2RTY4	MYO9A_HUMAN	reviewed	Unconventional myosin-IXa (Unconventional myosin-9a)	MYO9A MYR7	Homo sapiens (Human)	2548
Q5VU43	MYOME_HUMAN	reviewed	Myomegalin (Cardiomyopathy-associated protein 2) (Phosphodiesterase 4D-interacting protein)	PDE4DIP CMYA2 KIAA0454 KIAA0477 MMGL	Homo sapiens (Human)	2346
P30086	PEBP1_HUMAN	reviewed	Phosphatidylethanolamine-binding protein 1 (PEBP-1) (HCNPpp) (Neuropolypeptide h3) (Prostatic-binding protein) (Raf kinase inhibitor protein) (RKIP) [Cleaved into: Hippocampal cholinergic neurostimulating peptide (HCNP)]	PEBP1 PBP PEBP	Homo sapiens (Human)	187
Q9Y2G1	MYRF_HUMAN	reviewed	Myelin regulatory factor (EC 3.4.-.-) (Myelin gene regulatory factor) [Cleaved into: Myelin regulatory factor, N-terminal; Myelin regulatory factor, C-terminal]	MYRF C11orf9 KIAA0954 MRF	Homo sapiens (Human)	1151
Q13765	NACA_HUMAN	reviewed	Nascent polypeptide-associated complex subunit alpha (NAC-alpha) (Alpha-NAC) (allergen Hom s 2)	NACA HSD48	Homo sapiens (Human)	215
Q86W25	NAL13_HUMAN	reviewed	NACHT, LRR and PYD domains-containing protein 13 (Nucleotide-binding oligomerization domain protein 14)	NLRP13 NALP13 NOD14	Homo sapiens (Human)	1043
P17050	NAGAB_HUMAN	reviewed	Alpha-N-acetylgalactosaminidase (EC 3.2.1.49) (Alpha-galactosidase B)	NAGA	Homo sapiens (Human)	411
Q93070	NAR4_HUMAN	reviewed	Ecto-ADP-ribosyltransferase 4 (EC 2.4.2.31) (ADP-ribosyltransferase C2 and C3 toxin-like 4) (ARTC4) (Dombrock blood group carrier molecule) (Mono(ADP-ribosyl)transferase 4) (NAD(P)(+)--arginine ADP-ribosyltransferase 4) (CD antigen CD297)	ART4 DO DOK1	Homo sapiens (Human)	314
Q96L15	NAR5_HUMAN	reviewed	Ecto-ADP-ribosyltransferase 5 (EC 2.4.2.31) (ADP-ribosyltransferase C2 and C3 toxin-like 5) (ARTC5) (Mono(ADP-ribosyl)transferase 5) (NAD(P)(+)--arginine ADP-ribosyltransferase 5)	ART5 UNQ575/PRO1137	Homo sapiens (Human)	291
Q6ZNJ1	NBEL2_HUMAN	reviewed	Neurobeachin-like protein 2	NBEAL2 KIAA0540 UNQ253/PRO290	Homo sapiens (Human)	2754
Q9NR99	MXRA5_HUMAN	reviewed	Matrix-remodeling-associated protein 5 (Adhesion protein with leucine-rich repeats and immunoglobulin domains related to perlecan) (Adlican)	MXRA5	Homo sapiens (Human)	2828
P84157	MXRA7_HUMAN	reviewed	Matrix-remodeling-associated protein 7	MXRA7	Homo sapiens (Human)	204
Q15121	PEA15_HUMAN	reviewed	Astrocytic phosphoprotein PEA-15 (15 kDa phosphoprotein enriched in astrocytes) (Phosphoprotein enriched in diabetes) (PED)	PEA15	Homo sapiens (Human)	130
Q99417	MYCBP_HUMAN	reviewed	c-Myc-binding protein (Associate of Myc 1) (AMY-1)	MYCBP AMY1	Homo sapiens (Human)	103
P02689	MYP2_HUMAN	reviewed	Myelin P2 protein (Peripheral myelin protein 2)	PMP2	Homo sapiens (Human)	132
Q13402	MYO7A_HUMAN	reviewed	Unconventional myosin-VIIa	MYO7A USH1B	Homo sapiens (Human)	2215
A7E2Y1	MYH7B_HUMAN	reviewed	Myosin-7B (Antigen MLAA-21) (Myosin cardiac muscle beta chain) (Myosin heavy chain 7B, cardiac muscle beta isoform) (Slow A MYH14)	MYH7B KIAA1512	Homo sapiens (Human)	1983
Q9ULV0	MYO5B_HUMAN	reviewed	Unconventional myosin-Vb	MYO5B KIAA1119	Homo sapiens (Human)	1848
Q9NQX4	MYO5C_HUMAN	reviewed	Unconventional myosin-Vc	MYO5C	Homo sapiens (Human)	1742
Q9NP98	MYOZ1_HUMAN	reviewed	Myozenin-1 (Calsarcin-2) (Filamin-, actinin- and telethonin-binding protein) (Protein FATZ)	MYOZ1 MYOZ	Homo sapiens (Human)	299
Q01538	MYT1_HUMAN	reviewed	Myelin transcription factor 1 (MyT1) (Myelin transcription factor I) (MyTI) (PLPB1) (Proteolipid protein-binding protein)	MYT1 KIAA0835 KIAA1050 MTF1 MYTI PLPB1	Homo sapiens (Human)	1121
Q15274	NADC_HUMAN	reviewed	Nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19) (Quinolinate phosphoribosyltransferase [decarboxylating]) (QAPRTase) (QPRTase)	QPRT	Homo sapiens (Human)	297
O00623	PEX12_HUMAN	reviewed	Peroxisome assembly protein 12 (Peroxin-12) (Peroxisome assembly factor 3) (PAF-3)	PEX12 PAF3	Homo sapiens (Human)	359
O60925	PFD1_HUMAN	reviewed	Prefoldin subunit 1	PFDN1 PFD1	Homo sapiens (Human)	122
P61758	PFD3_HUMAN	reviewed	Prefoldin subunit 3 (HIBBJ46) (von Hippel-Lindau-binding protein 1) (VBP-1) (VHL-binding protein 1)	VBP1 PFDN3	Homo sapiens (Human)	197
Q9NQP4	PFD4_HUMAN	reviewed	Prefoldin subunit 4 (Protein C-1)	PFDN4 PFD4	Homo sapiens (Human)	134
Q99471	PFD5_HUMAN	reviewed	Prefoldin subunit 5 (Myc modulator 1) (c-Myc-binding protein Mm-1)	PFDN5 MM1 PFD5	Homo sapiens (Human)	154
O15212	PFD6_HUMAN	reviewed	Prefoldin subunit 6 (Protein Ke2)	PFDN6 HKE2 PFD6	Homo sapiens (Human)	129
Q4G0N4	NAKD2_HUMAN	reviewed	NAD kinase 2, mitochondrial (EC 2.7.1.23) (Mitochondrial NAD kinase) (NAD kinase domain-containing protein 1, mitochondrial)	NADK2 C5orf33 MNADK NADKD1	Homo sapiens (Human)	442
Q8IZF0	NALCN_HUMAN	reviewed	Sodium leak channel non-selective protein (CanIon) (Voltage gated channel-like protein 1)	NALCN VGCNL1	Homo sapiens (Human)	1738
O60682	MUSC_HUMAN	reviewed	Musculin (Activated B-cell factor 1) (ABF-1) (Class A basic helix-loop-helix protein 22) (bHLHa22)	MSC ABF1 BHLHA22	Homo sapiens (Human)	206
P12525	MYCP1_HUMAN	reviewed	Putative myc-like protein MYCLP1 (Protein L-Myc-2) (V-myc myelocytomatosis viral oncogene homolog pseudogene 1)	MYCLP1 MYCL1P1 MYCL2	Homo sapiens (Human)	358
Q9Y6X6	MYO16_HUMAN	reviewed	Unconventional myosin-XVI (Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 3) (Unconventional myosin-16)	MYO16 KIAA0865 MYO16B NYAP3	Homo sapiens (Human)	1858
Q8IZQ8	MYCD_HUMAN	reviewed	Myocardin	MYOCD MYCD	Homo sapiens (Human)	938
Q9HB07	MYG1_HUMAN	reviewed	UPF0160 protein MYG1, mitochondrial	C12orf10	Homo sapiens (Human)	376
Q13951	PEBB_HUMAN	reviewed	Core-binding factor subunit beta (CBF-beta) (Polyomavirus enhancer-binding protein 2 beta subunit) (PEA2-beta) (PEBP2-beta) (SL3-3 enhancer factor 1 subunit beta) (SL3/AKV core-binding factor beta subunit)	CBFB	Homo sapiens (Human)	182
A6NI61	MYMK_HUMAN	reviewed	Protein myomaker (Myoblast fusion maker) (Transmembrane protein 226) (Transmembrane protein 8C)	MYMK TMEM226 TMEM8C	Homo sapiens (Human)	221
Q9NPC7	MYNN_HUMAN	reviewed	Myoneurin (Zinc finger and BTB domain-containing protein 31)	MYNN OSZF ZBTB31 SBBIZ1	Homo sapiens (Human)	610
P0CAP1	MYZAP_HUMAN	reviewed	Myocardial zonula adherens protein (GRINL1A upstream protein) (Gup)	MYZAP MYOZAP	Homo sapiens (Human)	466
Q8WU39	MZB1_HUMAN	reviewed	Marginal zone B- and B1-cell-specific protein (Mesenteric estrogen-dependent adipose 7) (MEDA-7) (Plasma cell-induced resident endoplasmic reticulum protein) (Plasma cell-induced resident ER protein) (pERp1) (Proapoptotic caspase adapter protein)	MZB1 MEDA7 PACAP HSPC190	Homo sapiens (Human)	189
Q9NPC6	MYOZ2_HUMAN	reviewed	Myozenin-2 (Calsarcin-1) (FATZ-related protein 2)	MYOZ2 C4orf5	Homo sapiens (Human)	264
O60237	MYPT2_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 12B (Myosin phosphatase-targeting subunit 2) (Myosin phosphatase target subunit 2)	PPP1R12B MYPT2	Homo sapiens (Human)	982
Q9UL68	MYT1L_HUMAN	reviewed	Myelin transcription factor 1-like protein (MyT1-L) (MyT1L)	MYT1L KIAA1106	Homo sapiens (Human)	1186
Q8NFW9	MYRIP_HUMAN	reviewed	Rab effector MyRIP (Exophilin-8) (Myosin-VIIa- and Rab-interacting protein) (Synaptotagmin-like protein lacking C2 domains C) (SlaC2-c) (Slp homolog lacking C2 domains c)	MYRIP SLAC2C	Homo sapiens (Human)	859
P50458	LHX2_HUMAN	reviewed	LIM/homeobox protein Lhx2 (Homeobox protein LH-2) (LIM homeobox protein 2)	LHX2 LH2	Homo sapiens (Human)	406
P48059	LIMS1_HUMAN	reviewed	LIM and senescent cell antigen-like-containing domain protein 1 (Particularly interesting new Cys-His protein 1) (PINCH-1) (Renal carcinoma antigen NY-REN-48)	LIMS1 PINCH PINCH1	Homo sapiens (Human)	325
Q13136	LIPA1_HUMAN	reviewed	Liprin-alpha-1 (LAR-interacting protein 1) (LIP-1) (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein alpha-1) (PTPRF-interacting protein alpha-1)	PPFIA1 LIP1	Homo sapiens (Human)	1202
O43766	LIAS_HUMAN	reviewed	Lipoyl synthase, mitochondrial (EC 2.8.1.8) (Lipoate synthase) (LS) (Lip-syn) (Lipoic acid synthase)	LIAS LAS HUSSY-01	Homo sapiens (Human)	372
Q2Q1W2	LIN41_HUMAN	reviewed	E3 ubiquitin-protein ligase TRIM71 (EC 2.3.2.27) (Protein lin-41 homolog) (RING-type E3 ubiquitin transferase TRIM71) (Tripartite motif-containing protein 71)	TRIM71 LIN41	Homo sapiens (Human)	868
Q5W064	LIPJ_HUMAN	reviewed	Lipase member J (EC 3.1.1.-) (Lipase-like abhydrolase domain-containing protein 1)	LIPJ LIPL1	Homo sapiens (Human)	366
A6NI73	LIRA5_HUMAN	reviewed	Leukocyte immunoglobulin-like receptor subfamily A member 5 (CD85 antigen-like family member F) (Immunoglobulin-like transcript 11) (ILT-11) (Leukocyte immunoglobulin-like receptor 9) (LIR-9) (CD antigen CD85f)	LILRA5 ILT11 LILRB7 LIR9	Homo sapiens (Human)	299
Q05469	LIPS_HUMAN	reviewed	Hormone-sensitive lipase (HSL) (EC 3.1.1.79)	LIPE	Homo sapiens (Human)	1076
P09960	LKHA4_HUMAN	reviewed	Leukotriene A-4 hydrolase (LTA-4 hydrolase) (EC 3.3.2.6) (Leukotriene A(4) hydrolase)	LTA4H LTA4	Homo sapiens (Human)	611
Q9NUN5	LMBD1_HUMAN	reviewed	Probable lysosomal cobalamin transporter (HDAg-L-interacting protein NESI) (LMBR1 domain-containing protein 1) (Nuclear export signal-interacting protein)	LMBRD1 C6orf209 NESI BM-021 CD001 MSTP044	Homo sapiens (Human)	540
Q9BRT6	LLPH_HUMAN	reviewed	Protein LLP homolog (Protein LAPS18-like)	LLPH C12orf31 cPERP-G	Homo sapiens (Human)	129
P02545	LMNA_HUMAN	reviewed	Prelamin-A/C [Cleaved into: Lamin-A/C (70 kDa lamin) (Renal carcinoma antigen NY-REN-32)]	LMNA LMN1	Homo sapiens (Human)	664
Q8N9Z9	LMTD1_HUMAN	reviewed	Lamin tail domain-containing protein 1 (Intermediate filament tail domain-containing protein 1)	LMNTD1 IFLTD1	Homo sapiens (Human)	388
Q9C0E8	LNP_HUMAN	reviewed	Endoplasmic reticulum junction formation protein lunapark (ER junction formation factor lunapark)	LNPK KIAA1715 LNP	Homo sapiens (Human)	428
Q8TBB1	LNX1_HUMAN	reviewed	E3 ubiquitin-protein ligase LNX (EC 2.3.2.27) (Ligand of Numb-protein X 1) (Numb-binding protein 1) (PDZ domain-containing RING finger protein 2) (RING-type E3 ubiquitin transferase LNX)	LNX1 LNX PDZRN2 UNQ574/PRO1136	Homo sapiens (Human)	728
Q8N448	LNX2_HUMAN	reviewed	Ligand of Numb protein X 2 (Numb-binding protein 2) (PDZ domain-containing RING finger protein 1)	LNX2 PDZRN1	Homo sapiens (Human)	690
Q92633	LPAR1_HUMAN	reviewed	Lysophosphatidic acid receptor 1 (LPA receptor 1) (LPA-1) (Lysophosphatidic acid receptor Edg-2)	LPAR1 EDG2 LPA1	Homo sapiens (Human)	364
Q9H1C0	LPAR5_HUMAN	reviewed	Lysophosphatidic acid receptor 5 (LPA receptor 5) (LPA-5) (G-protein coupled receptor 92) (G-protein coupled receptor 93)	LPAR5 GPR92 GPR93	Homo sapiens (Human)	372
Q9GZZ1	NAA50_HUMAN	reviewed	N-alpha-acetyltransferase 50 (hNaa50p) (EC 2.3.1.258) (N-acetyltransferase 13) (N-acetyltransferase 5) (hNAT5) (N-acetyltransferase san homolog) (hSAN) (N-epsilon-acetyltransferase 50) (EC 2.3.1.-) (NatE catalytic subunit)	NAA50 MAK3 NAT13 NAT5	Homo sapiens (Human)	169
Q8N309	LRC43_HUMAN	reviewed	Leucine-rich repeat-containing protein 43	LRRC43	Homo sapiens (Human)	656
Q6ZQY2	LR74B_HUMAN	reviewed	Leucine-rich repeat-containing protein 74B	LRRC74B	Homo sapiens (Human)	392
Q96FV0	LRC46_HUMAN	reviewed	Leucine-rich repeat-containing protein 46	LRRC46	Homo sapiens (Human)	321
Q8N5H3	LRA25_HUMAN	reviewed	Leucine repeat adapter protein 25	FAM89B Lrap25	Homo sapiens (Human)	189
Q86YC3	LRC33_HUMAN	reviewed	Transforming growth factor beta activator LRRC33 (Leucine-rich repeat-containing protein 33) (Negative regulator of reactive oxygen species)	NRROS LRRC33 UNQ3030/PRO9833	Homo sapiens (Human)	692
